edu,sort,lat,lon
31591558,ДОО,55.825283,37.576509
31621517,ДОО,55.896224,37.630209
31891877,ДОО,55.897555,37.39228
319319,ДОО,55.668379,37.510151
319401,Школы,55.804879,37.827852
32221301,Школы,55.8008,37.557357
32241260,ДОО,55.825454,37.524819
32251265,ДОО,55.837842,37.525847
323323,ОК,55.66014,37.569289
32371356,Школы,55.814267,37.567836
32381357,Школы,55.813525,37.565629
3257749,Школы,55.72073,37.511698
3258781,Школы,55.642357,37.40822
3266751,ДОО,55.71307,37.516833
3267699,Школы,55.680058,37.453467
327327,Школы,55.851788,37.507173
3278832,ДОО,55.652582,37.468731
3279833,ДОО,55.670286,37.462447
3298288,Школы,55.746435,37.792229
329927,Школы,55.813634,37.728624
3312326,Школы,55.74216,37.859152
3314286,Школы,55.742076,37.782154
3327446,ДОО,55.775449,37.736506
3332304,Школы,55.736187,37.851562
35211899,Школы,55.828342,37.349141
33334281,ДОО,55.448064,37.512194
3338311,Школы,55.74162,37.874058
335335,ДОО,55.813117,37.725216
335466,ДОО,55.761263,37.733378
33532307,ДОО,55.495563,37.510912
3356199,Школы,55.801745,37.790637
336406,ДОО,55.806733,37.808554
33672298,Школы,55.47687,37.539358
3374228,Школы,55.981891,37.156645
33782824,Школы,55.717671,37.614537
35623348,Школы,55.757399,37.701024
346346,ДОО,55.825327,37.753693
3389374,ДОО,55.742236,37.75938
3390209,ДОО,55.78918,37.787463
3394218,ДОО,55.800619,37.802196
34003657,Школы,55.700991,37.744657
34014301,ОК,55.590253,37.441822
34032825,ДОО,55.699461,37.632926
34043894,ДОО,55.674459,37.533581
34093986,Школы,55.644242,37.482568
34102823,ДОО,55.712819,37.614467
34174004,ДОО,55.626,37.4815
34194012,Школы,55.626993,37.503926
342342,ДОО,55.68581,37.754878
34264037,Школы,55.672646,37.566932
34362256,Школы,55.604048,37.365949
34402233,Школы,55.426354,37.268257
34433929,ДОО,55.664678,37.522565
35723144,Школы,55.615551,37.602444
34503817,Школы,55.629231,37.522549
346411,ДОО,55.805711,37.820843
34673903,ДОО,55.685876,37.527216
34684097,Школы,55.549333,37.530069
385385,ДОО,55.770714,37.481567
34693750,Школы,55.702277,37.553573
35183055,Школы,55.602573,37.738184
34723867,Школы,55.675328,37.601736
34863697,ДОО,55.683863,37.572708
34873698,ДОО,55.682071,37.573316
35023457,ДОО,55.664156,37.768573
3503795,ДОО,55.655788,37.387105
35163712,ДОО,55.694024,37.579957
35241961,Школы,55.813858,37.45896
35252346,ДОО,55.466561,37.286229
353353,Школы,55.854315,37.508197
35313755,ДОО,55.694353,37.548768
35363658,Школы,55.717812,37.669425
35371044,ДОО,55.805496,37.546859
35443789,Школы,55.652295,37.576894
3553807,Школы,55.664348,37.491447
35783115,ДОО,55.628127,37.613865
3580721,Школы,55.672473,37.510662
359359,ОК,55.640003,37.544513
3596167,Школы,55.762677,37.834996
35983156,ДОО,55.611499,37.587428
36364273,ДОО,55.711377,37.942023
3636,ОК,55.705751,37.699839
36122982,Школы,55.663935,37.621493
36233006,ДОО,55.611221,37.70156
36243004,ДОО,55.623249,37.720085
36293020,ДОО,55.61655,37.698351
36413064,ДОО,55.60742,37.741436
364479,Школы,55.789698,37.812646
36622787,ДОО,55.635124,37.755547
36632793,ДОО,55.719298,37.648468
36812832,Школы,55.72008,37.613821
36642759,Школы,55.583433,37.649421
36652717,ДОО,55.584558,37.684008
36792826,Школы,55.718811,37.605089
368368,ДОО,55.656867,37.387886
3683264,ДОО,55.711066,37.810816
36802827,ДОО,55.709653,37.603612
36932859,ДОО,55.629281,37.737687
36942864,Школы,55.628357,37.737596
36982841,ДОО,55.619343,37.759765
37052805,ДОО,55.710888,37.661691
37352869,Школы,55.622998,37.73358
37542620,ДОО,55.770874,37.60322
376376,ДОО,55.724435,37.418129
3763266,Школы,55.70097,37.8149
37702675,ДОО,55.719112,37.579468
37762739,ДОО,55.588444,37.65374
37802709,Школы,55.584621,37.697452
37962686,Школы,55.731539,37.618221
380380,ДОО,55.689159,37.691922
3803455,ДОО,55.644602,37.740421
380159,Школы,55.721091,37.829479
380356,ДОО,55.718926,37.816902
38132435,ДОО,55.771788,37.704097
7bccc8d4-ceb3-4010-81cc-cd81cb433ca6,ДОО,55.628006,37.339097
38162420,Школы,55.767152,37.670914
38352477,ДОО,55.783674,37.671618
38432474,ДОО,55.777709,37.673784
38442470,Школы,55.767843,37.638278
38452540,ДОО,55.76134,37.595343
38492476,Школы,55.783113,37.674834
3853458,Школы,55.660558,37.776278
38542508,Школы,55.760293,37.588733
38642161,ДОО,55.838277,37.404128
387387,Школы,55.675334,37.447751
38742162,Школы,55.839242,37.403586
39084212,Школы,55.605763,37.517483
39124204,ДОО,55.602649,37.51884
39361981,ДОО,55.85065,37.41869
39572008,Школы,55.862807,37.441843
39583909,ДОО,55.680735,37.520447
396396,Школы,55.829242,37.75733
39662057,ДОО,55.800998,37.404251
39702043,ДОО,55.808329,37.403369
3975136,Школы,55.821074,37.794438
39822013,Школы,55.85246,37.415542
3993397,ДОО,55.668448,37.788551
39921708,Школы,55.864546,37.613413
75eb2fc6-abb1-4c29-8ed4-d3b875555d5b,ДОО,55.548867,37.319511
400400,ДОО,55.778722,37.489875
4003418,ДОО,55.649296,37.750319
40091728,ДОО,55.83568,37.664223
402916,Школы,55.981136,37.155844
40331823,ДОО,55.872261,37.624972
40381866,ДОО,55.889383,37.385235
40401881,Школы,55.900474,37.385
40491549,ДОО,55.822984,37.585379
4051005,ДОО,55.705207,37.811517
